DATE,BREED,LICENSE,ID
04/01/2021 12:00:00 AM,PARSON RUSS TER,442,2021-04-01-PARSON RUSS TER-442
04/01/2021 12:00:00 AM,PEKINGESE,147,2021-04-01-PEKINGESE-147
04/01/2021 12:00:00 AM,PIT BULL,1179,2021-04-01-PIT BULL-1179
04/01/2021 12:00:00 AM,POMERANIAN,1795,2021-04-01-POMERANIAN-1795
04/01/2021 12:00:00 AM,POODLE MIN,1818,2021-04-01-POODLE MIN-1818
04/01/2021 12:00:00 AM,POODLE STND,1905,2021-04-01-POODLE STND-1905
04/01/2021 12:00:00 AM,POODLE TOY,829,2021-04-01-POODLE TOY-829
04/01/2021 12:00:00 AM,PORT WATER DOG,340,2021-04-01-PORT WATER DOG-340
04/01/2021 12:00:00 AM,PUG,1275,2021-04-01-PUG-1275
04/01/2021 12:00:00 AM,RAT TERRIER,146,2021-04-01-RAT TERRIER-146
04/01/2021 12:00:00 AM,RHOD RIDGEBACK,175,2021-04-01-RHOD RIDGEBACK-175
04/01/2021 12:00:00 AM,ROTTWEILER,986,2021-04-01-ROTTWEILER-986
04/01/2021 12:00:00 AM,SAMOYED,144,2021-04-01-SAMOYED-144
04/01/2021 12:00:00 AM,SC WHEAT TERR,400,2021-04-01-SC WHEAT TERR-400
04/01/2021 12:00:00 AM,SCHNAUZER MIN,1845,2021-04-01-SCHNAUZER MIN-1845
04/01/2021 12:00:00 AM,SCHNAUZER STAND,161,2021-04-01-SCHNAUZER STAND-161
04/01/2021 12:00:00 AM,SCOT TERRIER,162,2021-04-01-SCOT TERRIER-162
04/01/2021 12:00:00 AM,SHETLD SHEEPDOG,717,2021-04-01-SHETLD SHEEPDOG-717
04/01/2021 12:00:00 AM,SHIBA INU,599,2021-04-01-SHIBA INU-599
04/01/2021 12:00:00 AM,SHIH TZU,3549,2021-04-01-SHIH TZU-3549
04/01/2021 12:00:00 AM,SIBERIAN HUSKY,1775,2021-04-01-SIBERIAN HUSKY-1775
04/01/2021 12:00:00 AM,ST BERNARD RGH,146,2021-04-01-ST BERNARD RGH-146
04/01/2021 12:00:00 AM,ST BERNARD SMTH,140,2021-04-01-ST BERNARD SMTH-140
04/01/2021 12:00:00 AM,STAFFORDSHIRE,359,2021-04-01-STAFFORDSHIRE-359
04/01/2021 12:00:00 AM,TERRIER,1525,2021-04-01-TERRIER-1525
04/01/2021 12:00:00 AM,VIZSLA,146,2021-04-01-VIZSLA-146
04/01/2021 12:00:00 AM,WEIMARANER,272,2021-04-01-WEIMARANER-272
04/01/2021 12:00:00 AM,WELSH CORGI CAR,156,2021-04-01-WELSH CORGI CAR-156
04/01/2021 12:00:00 AM,WELSH CORGI PEM,549,2021-04-01-WELSH CORGI PEM-549
04/01/2021 12:00:00 AM,WELSH SPR SPAN,145,2021-04-01-WELSH SPR SPAN-145
04/01/2021 12:00:00 AM,WEST HIGHLAND,677,2021-04-01-WEST HIGHLAND-677
04/01/2021 12:00:00 AM,WHIPPET,259,2021-04-01-WHIPPET-259
04/01/2021 12:00:00 AM,YORKSHIRE TERR,3238,2021-04-01-YORKSHIRE TERR-3238
